angle_cm_deg,ratio_to_rutherford,stat_err
6.3000,1.41,0.03243
9.6000,1.93,0.04439
12.1000,2.05,0.04715
17.7000,1.52,0.03496
21.7000,0.794,0.018262
22.6000,0.579,0.013317
25.6000,0.687,0.015801
29.7000,1.135,0.026105
31.2000,2.09,0.04807
33.3000,3,0.069
35.3000,4.18,0.09614
40.0000,4.87,0.11201
44.6000,4.79,0.11017
46.3000,4.63,0.10649
49.8000,3.77,0.08671
52.5000,2.31,0.05313
55.1000,1.49,0.03427
59.0000,1.44,0.03312
61.9000,1.79,0.04117
63.6000,1.96,0.04508
66.9000,2.29,0.05267
68.6000,2.33,0.05359
71.2000,2.55,0.05865
74.1000,2.51,0.05773
75.9000,2.39,0.05497
78.0000,2.21,0.05083
80.2000,1.71,0.03933
83.6000,1.56,0.03588
87.1000,1.287,0.029601
90.1000,1.081,0.024863
91.4000,0.983,0.022609
94.4000,0.921,0.021183
96.9000,0.864,0.019872
98.2000,0.905,0.020815
101.2000,0.977,0.022471
105.0000,0.975,0.022425
107.1000,1.005,0.023115
109.7000,1.004,0.023092
111.8000,0.913,0.020999
113.9000,0.897,0.020631
116.5000,0.841,0.019343
120.4000,0.74,0.01702
121.3000,0.622,0.014306
124.4000,0.353,0.008119
125.3000,0.245,0.005635
128.3000,0.265,0.006095
130.0000,0.245,0.005635
134.5000,0.437,0.010051
137.9000,0.544,0.012512
140.8000,0.767,0.017641
142.0000,0.791,0.018193
144.5000,1.066,0.024518
146.2000,1.116,0.025668
148.3000,1.187,0.027301
151.3000,1.096,0.025208
155.6000,1.076,0.024748
156.5000,0.964,0.022172
160.3000,0.861,0.019803
163.3000,0.679,0.015617
